2014-12-05 12:00:08:0842, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:09:0497, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:09:0513, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:09:0528, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:09:0544, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:09:0559, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:09:0949, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:09:0965, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:09:0981, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:09:0996, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:10:0012, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:10:0012, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:10:0043, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:10:0059, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:10:0090, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:10:0105, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:10:0121, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:10:0137, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:57:0499, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:57:0530, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:57:0546, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:57:0546, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:57:0577, list_pattern_mouseexited
2014-12-05 12:00:57:0748, diag_itementered, id=50064, type=1
2014-12-05 12:00:57:0764, diag_itemexited, id=50064, type=1
2014-12-05 12:00:58:0201, diag_itemexited, id=4, type=4
2014-12-05 12:00:58:0216, diag_itementered, id=36347, type=1
2014-12-05 12:00:58:0294, diag_itemexited, id=36347, type=1
2014-12-05 12:00:58:0684, diag_itemexited, id=4, type=4
2014-12-05 12:00:58:0684, diag_itementered, id=40471, type=1
2014-12-05 12:00:58:0731, diag_itemexited, id=40471, type=1
2014-12-05 12:00:58:0778, diag_itemexited, id=4, type=4
2014-12-05 12:00:58:0872, diag_itemexited, id=-1404308192, type=4
2014-12-05 12:00:58:0872, diag_itementered, id=60160, type=1
2014-12-05 12:00:59:0230, diag_itemexited, id=60160, type=1
2014-12-05 12:01:00:0260, diag_itemexited, id=-1404308192, type=4
2014-12-05 12:01:00:0322, diag_itemexited, id=4, type=4
2014-12-05 12:01:00:0322, diag_itementered, id=40471, type=1
2014-12-05 12:01:00:0697, diag_itemexited, id=40471, type=1
2014-12-05 12:01:02:0678, diag_itemexited, id=4, type=4
2014-12-05 12:01:02:0678, diag_itementered, id=4, type=0
2014-12-05 12:01:04:0425, edge_create, Tuple[0,1,0.08807470578732268,2,1.0,1417798747268,1417798747268]
2014-12-05 12:01:04:0425, pattern_create, 3
2014-12-05 12:01:04:0425, edge_create, Tuple[1,2,0.5998705628540946,2,1.0,1417798747268,1417798747268]
2014-12-05 12:01:04:0425, edge_create, Tuple[0,3,0.4786838479708747,1,0.0,1417798747268,1417798747268]
2014-12-05 12:01:04:0425, edge_create, Tuple[3,4,0.660051815159917,1,0.0,1417798747268,1417798747268]
