2014-10-30 12:53:55:0812, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0820, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0828, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0836, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0845, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0853, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0860, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0868, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0876, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0884, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0892, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0900, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0908, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0916, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0924, diag_itemdragged, id=17373, type=1
2014-10-30 12:53:55:0949, diag_itemexited, id=17373, type=1
2014-10-30 12:53:56:0034, diag_itementered, id=64392, type=1
2014-10-30 12:53:56:0084, diag_itemexited, id=64392, type=1
2014-10-30 12:53:56:0525, diag_itementered, id=27240, type=1
2014-10-30 12:53:57:0404, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0500, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0507, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0515, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0523, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0532, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0541, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0549, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0557, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0563, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0572, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0580, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0588, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0596, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0605, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0613, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0620, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0628, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0636, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0644, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0652, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0660, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0740, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0748, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0757, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0773, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0781, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0788, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0796, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0804, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0812, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0820, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0829, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0837, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0844, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0861, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:57:0869, diag_itemdragged, id=27240, type=1
