2014-03-26 04:22:27:0173, setup_loaddata
2014-03-26 04:22:27:0579, setup_loaddata
2014-03-26 04:22:28:0000, setup_resizewin
2014-03-26 04:23:02:0016, edge_create, Tuple[1,3,0.77003435933201,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, answer_create, 9935
2014-03-26 04:23:02:0016, edge_create, Tuple[1,4,0.017068537662998873,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, answer_create, 9970
2014-03-26 04:23:02:0016, edge_create, Tuple[1,5,0.9287418659515357,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, answer_create, 11077
2014-03-26 04:23:02:0016, edge_create, Tuple[1,6,0.7554562966778788,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, answer_create, 68522
2014-03-26 04:23:02:0016, edge_create, Tuple[1,7,0.170204069154558,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, answer_create, 1883076
2014-03-26 04:23:02:0016, edge_create, Tuple[1,8,0.4019198993910963,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, answer_create, 2741941
2014-03-26 04:23:02:0016, edge_create, Tuple[1,9,0.006203580299955713,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, answer_create, 3060306
2014-03-26 04:23:02:0016, edge_create, Tuple[1,10,0.8869867274413301,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, edge_create, Tuple[0,11,0.8933178452928355,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, edge_create, Tuple[11,12,0.913363020612603,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, edge_create, Tuple[11,13,0.44387003119179935,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, edge_create, Tuple[11,14,0.5989992913610748,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0032, diag_itemclicked, id=9913, type=1
2014-03-26 04:23:02:0110, diag_itemexited, id=9913, type=1
2014-03-26 04:23:04:0794, diag_itementered, id=6222, type=1
2014-03-26 04:23:05:0433, edge_create, Tuple[0,1,0.3888808684252206,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0449, answer_create, 6356
2014-03-26 04:23:05:0449, edge_create, Tuple[1,2,0.04641853674768348,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0450, answer_create, 7877
2014-03-26 04:23:05:0450, edge_create, Tuple[1,3,0.6246847096432846,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0452, edge_create, Tuple[0,4,0.22118844926113068,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0452, edge_create, Tuple[4,5,0.2221489706051506,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0453, edge_create, Tuple[4,6,0.011741634232925957,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0454, edge_create, Tuple[4,7,0.3223307291634827,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0455, edge_create, Tuple[4,8,0.9883817668378403,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0456, edge_create, Tuple[4,9,0.4562087131540218,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0457, edge_create, Tuple[4,10,0.16660967575556074,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0458, edge_create, Tuple[4,11,0.9707549946432379,1,0.0,1395822146252,1395822146252]
