2014-12-16 12:19:09:0741, setup_loaddata_begin
2014-12-16 12:19:11:0684, setup_loaddata_end
2014-12-16 12:19:11:0756, setup_createactions_begin
2014-12-16 12:19:11:0921, setup_createactions_end
2014-12-16 12:21:46:0793, edge_create, Tuple[1,20,0.37523709679257555,1,0.0,1418750350436,1418750350436]
2014-12-16 12:21:46:0796, edge_create, Tuple[1,21,0.9469025031087777,1,0.0,1418750350436,1418750350436]
2014-12-16 12:21:46:0798, edge_create, Tuple[1,22,0.9902075284129522,1,0.0,1418750350436,1418750350436]
2014-12-16 12:21:46:0816, discussion_open, 3881
2014-12-16 12:21:46:0816, diag_itemclicked, id=3881, type=1
2014-12-16 12:21:47:0458, diag_itemexited, id=3881, type=1
2014-12-16 12:21:49:0338, diag_itementered, id=39399, type=1
2014-12-16 12:21:49:0373, diag_itemexited, id=39399, type=1
2014-12-16 12:21:49:0531, diag_itemexited, id=4, type=4
2014-12-16 12:21:49:0538, diag_itementered, id=4, type=0
2014-12-16 12:21:49:0553, diag_itemexited, id=4, type=0
2014-12-16 12:29:44:0510, list_mouseentered, id=65475, type=1
2014-12-16 12:29:44:0510, list_mousemoved, id=65475, type=1
2014-12-16 12:29:44:0530, list_mousemoved, id=65475, type=1
2014-12-16 12:29:44:0550, list_mousemoved, id=65475, type=1
2014-12-16 12:29:44:0580, list_mousemoved, id=65475, type=1
2014-12-16 12:29:44:0600, list_mousemoved, id=65475, type=1
2014-12-16 12:29:44:0630, list_mousemoved, id=65475, type=1
2014-12-16 12:29:44:0650, list_mouseexited
