id,displayname,reputation
"1772","Jonathan","3269"
"1782","jmfsg","19141"
"1785","landon9720","11811"
"1793","Martin Klinke","4242"
"1797","mk.","8586"
"1799","Mat Noguchi","851"
"1801","Slavo","5708"
"1809","Steven Dick","151"
"1811","Ryan Guest","2282"
"1820","Cheekysoft","16939"
"1827","Shabaz","413"
"1830","Huppie","4905"
"1835","keiw","325"
"1849","Free Wildebeest","1598"
"1853","serg10","10675"
"1862","Kibbee","36996"
"1867","Rob Oxspring","1532"
"1870","Mo.","6837"
"1886","xanadont","2773"
"1891","Jay Conrod","12599"
"1892","postfuturist","10045"
"1898","Skizz","31091"
"1900","Lee Theobald","2550"
"1908","samjudson","28633"
"1915","Scott Bennett-McLeish","3650"
"1920","Erlend Halvorsen","843"
"1931","Dalroth","2648"
"1940","Kevin Goff","730"
"1951","mercutio","6006"
"1958","Michael Sharek","3945"
"1965","FlySwat","64022"
"1968","Konrad Rudolph","238334"
"1969","bmatthews68","5026"
"1992","Bernie Perez","5209"
"1996","Boris Terzic","6348"
"2010","Henrik Gustafsson","12246"
"2016","Magic Hat","695"
"2017","Greg Ogle","4015"
"2018","wvdschel","6197"
"2024","Elliot Vargas","4047"
"2025","Ross","19498"
"2030","Josh Brown","17025"
"2031","danb","3777"
"2066","Ethan Gunderson","2322"
"2077","Hanno Fietz","8853"
"2084","Ian Nelson","20521"
"2087","Rowan","303"
"2093","PPS","98"
"2108","andyuk","10062"
"2109","Owen","5875"
"2131","DrPizza","9541"
"2132","FreeMemory","4847"
"2138","Sergio del Amo","15619"
"2146","Mike Haboustak","1563"
"2148","Julio César","3092"
"2150","On Freund","3519"
"2168","John","5630"
"2177","yalestar","3869"
"2186","Matthew Maravillas","2494"
"2197","David Koelle","10493"
"2210","ogrodnek","146"
"2230","Euro Micelli","13603"
"2238","Henrik Paul","23478"
"2241","pr0nin","353"
"2257","Espo","24772"
"2260","Daren Thomas","27287"
"2274","Fernando Barrocal","3999"
"2275","niklasfi","2564"
"2279","abigblackman","311"
"2284","17 of 26","16239"
"2298","KeithB","9631"
"2309","Mario Ortegón","8678"
"2328","Craig H","4277"
"2338","Matt","11772"
"2361","Jakub Šturc","13096"
"2362","Brabster","19079"
"2367","Johannes K. Lehnert","571"
"2386","cschol","5778"
"2405","William Brendel","15833"
"2424","Chris Lively","60203"
"2434","Daniel James","2929"
"2438","Clokey","462"
"2443","Allain Lalonde","29721"
"2450","Alexander Stolz","3015"
"2453","Ben Williams","996"
"2454","ryan","2158"
"2455","Andrew Harmel-Law","2861"
"2514","Bob Nadler","1989"
"2520","Ron","9"
"2541","Sam Hasler","10212"
"2551","sundae1888","818"
"2554","Marcel","917"
"2566","CiNN","4041"
"2567","Dana the Sane","8122"
"2572","Todd","2467"
"2574","Adam Mitz","4650"
"2586","Dima Malenko","1555"
"2593","SerialSeb","121"
"2597","Tom Lokhorst","7888"
"2598","jjnguy","63792"
"2600","Chris Upchurch","10509"
"2603","Aaron Maenpaa","40003"
"2612","jumar","2691"
"2617","Abhinav","1221"
"2628","Aaron Ferguson","9519"
"2633","Edmund Tay","722"
"2635","Simucal","35443"
"2637","Noel","758"
"2644","pek","6552"
"2648","Dónal","64950"
"2649","Russell Mayor","171"
"2659","Josh Segall","2029"
"2667","Dwight Holman","999"
"2670","Peter Hilton","10809"
"2679","jelovirt","3562"
"2688","bdukes","57170"
"2695","Jorge Córdoba","19325"
"2697","Iker Jimenez","3471"
"2710","wbkang","414"
"2718","Andrei","566"
"2768","jmatthias","2083"
"2773","Chris Karcher","1459"
"2783","David Crow","7899"
"2786","Gern Blanston","6081"
"2789","Tim Williscroft","2949"
"2797","Sébastien RoccaSerra","7654"
"2811","diciu","19274"
"2819","Yuval","3398"
"2822","Trumpi","4250"
"2823","zvikico","7407"
"2829","mjlee","964"
"2839","Tom Carter","1862"
"2844","WMR","5944"
"2846","morais","1866"
"2847","John Boker","37331"
"2875","qwerty","176"
"2878","Knobloch","414"
"2881","Al.","1182"
"2885","Rydell","2094"
"2887","horace","463"
"2890","Vinnie","3397"
"2908","Jiaaro","15673"
"2915","Adam Davis","48746"
"2925","Ben Childs","1851"
"2933","Silas","1035"
"2935","Vetle","639"
"2937","Alotor","3502"
"2945","alves","894"
"2948","Antti Sykäri","10511"
"2954","Sergio Acosta","6520"
"2959","Steve McLeod","19693"
"2961","Stu Thompson","17338"
"2963","Kai","2516"
"2964","Einar","1717"
"2965","Laurent K","2042"
"2966","David Harrison","399"
"2976","paan","3135"
"2978","Matt Large","351"
"2981","stevechol","379"
"2985","stjohnroe","1887"
"2988","Jörg W Mittag","159575"
"3002","dF.","30366"
"3005","Mike Furtak","458"
"3012","Phillip Wells","2675"
"3014","Ed.T","1198"
"3027","nso1","355"
"3029","davetron5000","9916"
"3030","codeLes","1007"
"3031","zaca","427"
"3033","Tony Lenzi","46"
"3034","SWD","254"
"3043","Joel Coehoorn","195707"
"3044","levand","4205"
"3050","Paul Whelan","8772"
"3052","Charles Miller","2397"
"3055","chakrit","30598"
"3068","EdgarVerona","1048"
"3069","Damien B","1648"
"3071","Cagatay","959"
"3087","Cem Catikkas","5041"
"3093","Dave L.","20133"
"3095","Dave","3068"
"3098","MattGrommes","3988"
"3105","Marcin","3934"
"3111","jwarzech","2794"
"3114","Brian Stewart","4603"
"3122","paulgreg","5581"
"3126","jsquires","2546"
"3150","David G","3618"
"3153","Brian R. Bondy","146558"
"3154","David Sykes","3132"
"3171","Dave Webb","92225"
"3191","Domenic","42446"
"3196","Jan Gorman","842"
"3205","skolima","12550"
"3211","Mocky","2952"
"3221","bosnic","584"
"3230","PJ.","1017"
"3245","Eduardo Diaz","96"
"3253","Gowri","943"
"3267","Leigh Caldwell","4266"
"3274","Dan Cramer","415"
"3279","Ben Collins","11494"
"3280","Alexandru Nedelcu","3880"
"3282","Thomas Eyde","1977"
"3295","toolkit","27669"
"3305","John Channing","3302"
"3320","Mendelt","21903"
"3332","talg","736"
"3333","Paul Tomblin","86311"
"3340","jschoen","5866"
"3344","tonygambone","383"
"3347","spoulson","13759"
"3355","Staale","9063"
"3360","Okami","409"
"3366","devstopfix","3645"
"3379","Alfred B. Thordarson","1514"
"3381","Ben Scheirman","24156"
"3388","puri","474"
"3399","Ricardo Reyes","3548"
"3408","rjmunro","10882"
"3415","Brian Gianforcaro","12195"
"3416","HadleyHope","833"
"3432","Wouter Coekaerts","3594"
"3434","Apocalisp","22875"
"3444","shelfoo","1285"
"3446","rcreswick","6554"
"3449","joev","1001"
"3458","Arkadiy","10933"
"3474","erickson","132234"
"3477","Gio","417"
"3485","Hoffmann","3764"
"3488","Craig Walker","13824"
"3498","Mark","653"
"3508","A. Rex","18077"
"3512","cmsherratt","1856"
"3515","Kamil Zadora","918"
"3535","John Meagher","7009"
"3543","TonyB","2482"
"3547","Jay Stramel","1295"
"3556","Lee","158"
"3560","John Millikin","89880"
"3561","Tyler","16961"
"3576","javelinBCD","857"
"3583","Dmitry Shechtman","1838"
"3586","Jimmy","732"
"3587","Thomas Lötzer","8673"
"3617","frank hadder","3058"
"3631","Rob Walker","26252"
"3636","polarbear","2762"
"3637","Jim","86"
"3653","David Hicks","717"
"3657","Jeremy","1287"
"3666","bibix","1953"
"3713","Spoike","33430"
"3720","Vagnerr","1728"
"3776","McKenzieG1","5372"
"3785","Mario Fernandez","9364"
"3789","myabc","699"
"3803","Todd","1898"
"3827","Eugene Yokota","44351"
"3834","Graviton","28863"
"3836","cdv","10552"
"3839","Matthew Watson","7902"
"3848","Motti","34043"
"3853","ChrisN","10869"
"3875","IanW","991"
"3877","caramelcarrot","750"
"3885","Andrei Savu","2238"
"3894","Sergey Mikhanov","1780"
"3898","Miles D","3653"
"3904","David Resnick","2081"
"3913","mrowe","426"
"3926","nimish","1110"
"3935","Erik","769"
"3947","Chris Broadfoot","3542"
"3966","Ash Kim","3454"
"3973","Binil Thomas","6592"
"3978","Douglas Leeder","30649"
"3993","hakan","1021"
"3997","Jan Soltis","1803"
"4003","Nick Pierpoint","8131"
"4026","Mark Harris","323"
"4050","Giovanni Galbo","8319"
"4052","Georgy Bolyuba","3997"
"4061","Teflon Ted","2874"
"4064","Frederic Morin","2084"
"4071","tonylo","2097"
"4086","Ferruccio","53436"
"4097","Sebastian","324"
"4100","Paul de Vrieze","3753"
"4111","hasseg","5525"
"4120","Grundlefleck","30611"
"4155","Niniki","672"
"4165","Tnilsson","1442"
"4192","erlando","5802"
"4194","dmeister","11894"
"4203","Hank Gay","36826"
"4208","jwiklund","678"
"4213","Marcio Aguiar","6895"
"4216","jase","53"
"4218","ReaperUnreal","596"
"4220","Johan Lübcke","2298"
"4223","jodonnell","15599"
"4249","matt b","75191"
"4257","pkaeding","13239"
"4265","Peter Hart","3616"
"4276","Tim Howland","5740"
"4279","J.F. Sebastian","107597"
"4287","Robert J. Walker","3807"
"4308","Benedikt Waldvogel","4399"
"4315","user4315","2225"
"4316","dmanxiii","8524"
"4319","1729","1685"
"4321","JW.","18127"
"4332","Adrian Mouat","5626"
"4337","Gulzar Nazim","35905"
"4343","Bart","2760"
"4358","ramayac","1885"
"4362","jt.","3191"
"4372","Johannes Passing","1405"
"4389","Steve Bosman","1110"
"4396","iAn","3129"
"4406","Jagmal","1235"
"4433","Slartibartfast","5524"
"4450","Darren Hague","473"
"4476","John in MD","911"
"4479","Arktronic","57"
"4498","paperhorse","1477"
"4500","Matt Warren","7347"
"4507","Martin McNulty","1424"
"4513","Tony Lenzi","2306"
"4552","Joe Liversedge","2184"
"4575","Steve Duitsman","1359"
"4582","Geir-Tore Lindsve","769"
"4600","marcospereira","3154"
"4642","Xian","36074"
"4657","Daniel Huckstep","2065"
"4682","Casey Watson","10566"
"4685","Pop Catalin","25638"
"4690","Manrico Corazzi","6655"
"4702","Will Harris","17147"
"4705","nikhilbelsare","58"
"4711","Bart Schuller","2022"
"4717","Tibi","142"
"4723","zappan","2362"
"4725","Tom Hawtin - tackline","84840"
"4727","Leon Timmermans","23470"
"4728","Simon Nickerson","17672"
"4729","Ivan Hamilton","1416"
"4739","daentech","519"
"4761","DGentry","10924"
"4777","davenpcj","3624"
"4787","Neil Middleton","12524"
"4792","Kevin Wong","3858"
"4794","Don Kirkby","13066"
"4799","akr","2081"
"4805","Andy Whitfield","1212"
"4807","iMack","2622"
"4834","quamrana","6524"
"4850","André Neves","3195"
"4857","Ande","2867"
"4869","Swaroop C H","7611"
"4890","Andrew Whitehouse","1368"
"4893","sblundy","27966"
"4901","David Carlson","906"
"4910","Luther Baker","2721"
"4913","zigdon","8898"
"4919","Sean","2810"
"4926","Jason Cohen","37372"
"4939","username","2239"
"4950","Rob Stevenson-Leggett","13571"
"4952","ghbuch","84"
"4960","Nick Stinemates","5845"
"4968","warsze","178"
"4974","Steve Buikhuizen","495"
"4980","Thomas","725"
"4982","andybjackson","11"
"4986","credmp","66"
"4992","Claes Mogren","950"
"5004","Josh Moore","4478"
"5021","AlexeyMK","1658"
"5035","Christian Berg","7199"
"5044","user5044","11"
"5045","jason","526"
"5054","drye","532"
"5056","George Mauer","23569"
"5066","hazzen","7440"
"5074","Jay R.","6510"
"5076","John Vasileff","1957"
"5077","Chris Dail","11821"
"5084","user5084","211"
"5100","l0st3d","1076"
"5118","Rob Spieldenner","1194"
"5171","Dan Dyer","30957"
"5190","Vinko Vrsalovic","119726"
"5196","simpleblob","144"
"5208","Keith G","1879"
"5266","Will Sargent","2371"
"5271","Turismo","1148"
"5274","Jonathan Allen","24094"
"5296","alastairs","3316"
"5303","Tom Martin","1199"
"5304","airportyh","8017"
"5309","David Citron","9661"
"5313","Joe","556"
"5314","Jay Bazuzi","20988"
"5334","nutario","158"
"5346","Nick Fortescue","19229"
"5348","qbeuek","1691"
"5355","Mike McQuaid","4776"
"5357","Jacob Rigby","513"
"5369","Lukas Šalkauskas","5898"
"5380","Kent Boogaart","98991"
"5382","Mikezx6r","6689"
"5409","Rik","13168"
"5416","Joel Martinez","23367"
"5425","Guillermo Vasconcelos","803"
"5433","Paulj","643"
"5438","Stefan Karlsson","2140"
"5469","Kilhoffer","13765"
"5472","Oskar","1262"
"5478","KeithL","704"
"5507","Pavel Feldman","2160"
"5590","Kivus","311"
"5597","Anthony Williams","30159"
"5640","GEOCHET","13934"
"5659","DIA Tom","136"
"5696","John Calsbeek","20011"
"5717","Sébastien D.","61"
"5812","Bob Cross","13767"
"5885","Alex Argo","2246"
"5896","darius","2502"
"5903","David Thibault","4165"
"5933","Chris Hall","125"
"5988","Adrian Anttila","970"
"5989","BrewinBombers","1162"
"6009","Geekygecko","2064"
"6013","Joshua","8631"
"6044","rustyshelf","16783"
"6061","millenomi","5188"
"6069","agnul","2925"
"6093","Mr Shark","5446"
"6094","Peter","1701"
"6108","theiterator","235"
"6180","Alex B","13106"
"6193","Joe Cannatti","2224"
"6197","tbond","108"
"6198","Matt Solnit","13788"
"6255","warren_s","962"
"6277","Evan","9552"
"6282","Mat Mannion","2108"
"6309","VonC","431338"
"6329","tardate","7049"
"6330","Kendall Helmstetter Gelner","53901"
"6332","MM.","382"
"6364","George V. Reilly","5621"
"6370","Patrick Wilkes","1491"
"6380","Scott Hanselman","13304"
"6386","Kevin","7507"
"6400","Sietse","3294"
"6414","PintSizedCat","4361"
"6421","rjray","3701"
"6436","Loren Segal","2399"
"6466","shrisha","385"
"6482","Drejc","5574"
"6508","smink","41181"
"6525","HD.","1362"
"6528","Raithlin","1625"
"6554","squiddle","679"
"6568","Dave Costa","25675"
"6573","Stepan Stolyarov","491"
"6583","Epaga","13052"
"6740","Anarchofascist","161"
"6770","James A. N. Stauffer","1277"
"6775","Ian Wilson","16"
"6782","Alnitak","149202"
"6786","snafu109","41"
"6788","Autobyte","626"
"6801","Trausti Thor","2264"
"6819","Darrel Miller","58498"
"6827","Asaf R","3440"
"6837","user6837","1"
"6856","rmaruszewski","1024"
"6871","Arnelism","583"
"6918","Bruno De Fraine","12021"
"6973","TREE","528"
"6992","Nano Taboada","1979"
"6995","Krishna","2469"
"7012","Avi Flax","15519"
"7027","Carlos Carrasco","607"
"7031","MikeD","3719"
"7034","Henning","8986"
"7111","muriloq","1051"
"7127","Steve Burton","19"
"7143","Torsten Uhlmann","318"
"7144","A_M","2967"
"7178","Jim Kiley","2752"
"7193","dmazzoni","6721"
"7228","yrp","2961"
"7230","Brian Phillips","7173"
"7262","Marc","1920"
"7274","djpowell","337"
"7286","John Shields","26"
"7288","Mwanji Ezana","399"
"7292","Igor Romanov","610"
"7426","Adrian","2739"
"7475","David Chappelle","574"
"7488","JacquesB","20217"
"7492","Eric Normand","2075"
"7512","slim","12854"
"7524","Yaba","2732"
"7530","Rob Dickerson","788"
"7545","user7545","1414"
"7556","Eric  DeLabar","167"
"7557","Misha","936"
"7613","Andrew","8401"
"7616","shyam","4258"
"7621","killdash10","543"
"7625","Corbin March","18793"
"7647","jrudolph","3861"
"7659","Aaron","338"
"7671","Alex Miller","29626"
"7679","Chase Seibert","7790"
"7686","Martin Gladdish","1877"
"7708","Alan Krueger","2210"
"7732","Brad Richards","433"
"7740","Richard","8389"
"7754","squadette","4606"
"7756","Orion Adrian","9078"
"7867","Mr. Shiny and New 安宇","10140"
"7888","Dustin","4863"
"7898","Jean","10110"
"7918","jb.","5246"
"7938","Bill Michell","4949"
"8002","pjz","12730"
"8015","mfx","4577"
"8020","shemnon","2755"
"8026","MetroidFan2002","11821"
"8047","Yar","26151"
"8054","Nicholas","445"
"8114","SqlRyan","15313"
"8118","Shaggy","117"
"8131","Nathan Bubna","3889"
"8143","Konrad","2470"
"8178","rgcb","595"
"8187","Kyle Renfro","643"
"8252","Brian Kelly","2764"
"8256","Ed Thomas","579"
"8279","Marc-André Lafortune","35037"
"8286","sankara","306"
"8290","blahspam","606"
"8313","Sean Reilly","10268"
"8315","Seb","119"
"8330","Marlo Guthrie","444"
"8406","user8406","6"
"8434","Calum","3230"
"8435","Tom Ritter","46118"
"8530","Kevin","1037"
"8621","Honza","2831"
"8643","Matt Cruikshank","2381"
"8690","user8690","71"
"8701","Eclipse","28033"
"8720","Zach","908"
"8814","chrisk","51"
"8840","Avrom","1632"
"8841","Alexandre Brasil","124"
"8899","Nemanja Trifunovic","17439"
"8946","Lawrence Dol","29037"
"8952","xenox","525"
"8959","Brian","2334"
"8976","EricSchaefer","7772"
"9069","ordnungswidrig","2158"
"9116","user9116","492"
"9130","Adam Caviness","994"
"9155","Ben","96"
"9167","Yann Ramin","25319"
"9172","damageboy","926"
"9189","user9189","69"
"9191","Fredrik","2223"
"9195","Shivasubramanian A","1135"
"9263","Alejandro Bologna","765"
"9271","MooBob42","1325"
"9362","Vasco Duarte","148"
"9422","slipset","1319"
"9450","scubabbl","6984"
"9479","Christian P.","2321"
"9493","Brian","49638"
"9518","Randyaa","1060"
"9530","Adam Rosenfield","180595"
"9611","shoosh","34853"
"9628","zxcv","1725"
"9636","Heath Borders","8466"
"9641","Vladimir","4621"
"9774","Dan","1110"
"9787","David-W-Fenton","16873"
"9815","Daniel Spiewak","31414"
"9817","Christian","46"
"9822","Jesse Vogt","5160"
"9843","Nicolas Marchildon","832"
"9871","adum","1174"
"9872","eferm","175"
"9883","enricopulatzo","1191"
"9910","KC Baltz","690"
"9931","Ryan Delucchi","3368"
"9959","TSK","826"
"9966","mlbrock","61"
"9984","mmansoor","45"
"9987","Erik I","344"
"10166","Javamann","1957"
"10397","Justin Cave","118190"
"10503","Bradley Harris","624"
"10560","Lukáš Rampa","552"
"10720","big_peanut_horse","61"
"10759","moffdub","3777"
"10973","Kevin Day","9586"
"10980","Rejeev Divakaran","1180"
"11002","tgdavies","1916"
"11041","Chris OC","401"
"11092","Adi","2734"
"11429","Kristian","2218"
"11465","David Cournapeau","23039"
"11558","Tomer Gabel","2550"
"11721","Stephen Denne","17594"
"11758","Laserallan","5625"
"11770","AndrewB","172"
"11889","ARKBAN","1418"
"11961","MB.","3037"
"12039","Kariem","1428"
"12048","finnw","25113"
"12081","Brad Barker","1650"
"12092","Steve g","1975"
"12148","David Waters","6743"
"12369","Alfonso Pajares","8"
"12541","Scott Stanchfield","16413"
"12604","Ryan Ransford","1848"
"12631","Horcrux7","8520"
"12652","Comptrol","4531"
"12662","18Rabbit","1651"
"12704","Michael Easter","7641"
"12880","flicken","6197"
"12890","Arne Burmeister","8671"
"12943","Bill K","32668"
"12997","mpresley","31"
"13014","pauxu","598"
"13051","JesperE","35020"
"13070","mbaird","32331"
"13107","ralfs","1186"
"13114","marko","26"
"13189","eckes","1466"
"13229","user13229","71"
"13253","qualidafial","2125"
"13276","user13276","2091"
"13379","Michael","9772"
"13447","Olaf Kock","18743"
"13501","Stephane","430"
"13531","Michael Myers","84900"
"13633","l_39217_l","1632"
"13663","Will Hartung","58851"
"13905","volley","3269"
"13940","Greg Mattes","9946"
"13956","fd.","6950"
"14122","Charles Duffy","37348"
"14148","David Thornley","39539"
"14153","Aaron","2476"
"14446","maetl","703"
"14467","Sam Barnum","5197"
"14540","kolrie","3684"
"14731","Gili","15404"
"14744","Jared","23896"
"14768","Joshua","13555"
"14811","Jonathan Barbero","917"
"14893","Peter Kelley","1341"
"14978","catphive","1673"
"15053","fnCzar","991"
"15100","Shimi Bandiel","3616"
"15187","yanchenko","24918"
"15254","Philip Helger","895"
"15255","Zarkonnen","11386"
"15317","Rob","21"
"15379","Dave Griffiths","708"
